#corpus	vsize	bsize	lrate	wordnet	human
jcn-brown	16	10	0005	0.5315746973616948	0.2248288969186328
jcn-brown	16	10	001	0.4706881220130635	0.18623713938582787
jcn-brown	16	10	002	0.4577957650389625	0.23368867074430616
jcn-brown	16	10	004	0.48084693371208065	0.22220041231307344
jcn-brown	16	20	0005	0.564987299479673	0.27806070172037456
jcn-brown	16	20	001	0.4125504876174777	0.22436124606314053
jcn-brown	16	20	002	0.4805256149451169	0.1789115097907915
jcn-brown	16	20	004	0.464561759284838	0.2312464827703736
jcn-brown	16	60	0005	0.5115868420736744	0.18846000430826615
jcn-brown	16	60	001	0.5315340145873441	0.2904740248911199
jcn-brown	16	60	002	0.5307695927723346	0.2618356097237601
jcn-brown	16	60	004	0.44209934327278044	0.17303359920097003
jcn-brown	32	10	0005	0.5963597711584805	0.2942063353193742
jcn-brown	32	10	001	0.6077556397993876	0.25169071006079297
jcn-brown	32	10	002	0.596055777606954	0.2557359183968329
jcn-brown	32	10	004	0.6175480221763572	0.26448391830582046
jcn-brown	32	20	0005	0.6478248618547646	0.26763735237108266
jcn-brown	32	20	001	0.6390354733684529	0.2860698319642196
jcn-brown	32	20	002	0.6394605403188333	0.24949569213813236
jcn-brown	32	20	004	0.6018890131262781	0.27920559729766486
jcn-brown	32	60	0005	0.6897686397229983	0.31659199206256095
jcn-brown	32	60	001	0.6806623602504559	0.3087274184178533
jcn-brown	32	60	002	0.6398209982301675	0.283409742740386
jcn-brown	32	60	004	0.6690640932838346	0.3041048977005739
jcn-brown	64	10	0005	0.7541566350182578	0.3860488685494659
jcn-brown	64	10	001	0.7520478536668028	0.3460888910319638
jcn-brown	64	10	002	0.8185020789344536	0.41839012222919575
jcn-brown	64	10	004	0.7162689074107789	0.3303095338348531
jcn-brown	64	20	0005	0.7501595067387271	0.3522358674175943
jcn-brown	64	20	001	0.7504310637497452	0.3778884789275436
jcn-brown	64	20	002	0.734373391946318	0.35561142751463465
jcn-brown	64	20	004	0.7385766963828303	0.35095884584938236
jcn-brown	64	60	0005	0.7570445839132188	0.35945421192668936
jcn-brown	64	60	001	0.7700545411187181	0.36136811936290053
jcn-brown	64	60	002	0.7486146581031222	0.3305199198477609
jcn-brown	64	60	004	0.7776963828910798	0.35704907203998837
jcn-brown	100	10	001	0.7932647239907339	0.42578980737579236
jcn-brown	100	10	002	0.7893705923905503	0.3702648194070974
jcn-brown	100	10	004	0.8348078892572233	0.39682252949989905
jcn-brown	100	20	0005	0.8204818046951825	0.4212287287987955
jcn-brown	100	20	001	0.8169158366422703	0.38541819798557453
jcn-brown	100	20	002	0.7939399402416153	0.3984810001241457
jcn-brown	100	20	004	0.7919386036611615	0.377011227344469
jcn-brown	100	60	0005	0.7976053099408941	0.3963032875580208
jcn-brown	100	60	001	0.8065995949961775	0.43116037853421685
jcn-brown	100	60	002	0.7723859504729979	0.3600042257173372
jcn-brown	100	60	004	0.7993940521133952	0.41202879909764745
jcn-brown	200	10	0005	0.8461151819725469	0.40062556440169494
jcn-brown	200	10	001	0.894322868124624	0.4310523419245763
jcn-brown	200	10	002	0.8695238431625634	0.44430645762325355
jcn-brown	200	10	004	0.868610298567083	0.4225907334793849
jcn-brown	200	20	0005	0.8725889845305327	0.4542153382217305
jcn-brown	200	20	001	0.8792883183343618	0.3969547164251746
jcn-brown	200	20	002	0.8661525755963843	0.40339202469615976
jcn-brown	200	20	004	0.8557346574807957	0.40977016570941177
jcn-brown	200	60	0005	0.8674993724433251	0.4177134868509376
jcn-brown	200	60	001	0.8786388563310473	0.4290310478451673
jcn-brown	200	60	002	0.8744545222945567	0.40762854659230574
jcn-brown	200	60	004	0.8877682902532951	0.43139991147978757
jcn-brown	300	10	0005	0.8968433924624185	0.4321551927976072
jcn-brown	300	10	001	0.8955549082690777	0.4495378140942412
jcn-brown	300	10	002	0.8878365552580844	0.4312788552298426
jcn-brown	300	10	004	0.8867286960833662	0.4226508553753307
jcn-brown	300	20	0005	0.9040285431807235	0.43113161751912926
jcn-brown	300	20	001	0.8840449938079115	0.44595938322128625
jcn-brown	300	20	002	0.8815412056688514	0.44184883294630783
jcn-brown	300	20	004	0.9009279389450474	0.4182910632810444
jcn-brown	300	60	0005	0.928428214818129	0.4383954799906618
jcn-brown	300	60	001	0.8985456913560198	0.45530246803142965
jcn-brown	300	60	002	0.9006156991596785	0.43954571747965276
jcn-brown	300	60	004	0.8717606036259425	0.45273335379811686
