modelname	vsize	bsize	Pearson	Spearman
path2vec	100	100	0.6202	0.3012
path2vec	200	100	0.6738	0.3529
path2vec	300	100	0.7003	0.3717
path2vec	400	100	0.7009	0.3743
path2vec	500	100	0.7086	0.391
path2vec	600	100	0.7201	0.3869
Deepwalk	100	166	0.6425	0.1762
Deepwalk	200	166	0.5891	0.0837
Deepwalk	300	166	0.5327	0.0258
Deepwalk	400	166	0.4931	0.0014
Deepwalk	500	166	0.4525	0.0340
Deepwalk	600	166	0.4262	0.0569
node2vec	100	366	0.0010	0.2705
node2vec	200	366	0.2405	0.4996
node2vec	300	366	0.0909	0.3619
node2vec	400	366	0.3785	0.6155
node2vec	500	366	0.4132	0.6472
node2vec	600	366	0.4377	0.6613
TransR	100	266	0.1856	0.0744
TransR	200	266	0.2086	0.172
TransR	300	266	0.2168	0.0582
TransR	600	266	0.2192	0.0582
TransR	400	266	0.1297	0.143
TransR	500	266	0.1297	0.143

