#Model,Step,Value
JCN-Brown,0,0.012725391425192356
JCN-Brown,1,0.005014808848500252
JCN-Brown,2,0.003432688070461154
JCN-Brown,3,0.0022927303798496723
JCN-Brown,4,0.0016610159073024988
JCN-Brown,5,0.0012919395230710506
JCN-Brown,6,0.001077950932085514
JCN-Brown,7,0.000932845810893923
JCN-Brown,8,0.0008334051817655563
JCN-Brown,9,0.00075100501999259
JCN-SemCor,0,0.021794935688376427
JCN-SemCor,1,0.0043654367327690125
JCN-SemCor,2,0.0028363068122416735
JCN-SemCor,3,0.0021054137032479048
JCN-SemCor,4,0.0016647357260808349
JCN-SemCor,5,0.001407554023899138
JCN-SemCor,6,0.0012436429969966412
JCN-SemCor,7,0.001133384765125811
JCN-SemCor,8,0.0010583593975752592
JCN-SemCor,9,0.00100411765743047
LCH,0,0.014255106449127197
LCH,1,0.004068564157932997
LCH,2,0.003555015195161104
LCH,3,0.0033289375714957714
LCH,4,0.0031871942337602377
LCH,5,0.003096038941293955
LCH,6,0.003027091035619378
LCH,7,0.0029696281999349594
LCH,8,0.0029175204690545797
LCH,9,0.0028840857557952404
